agent_id,full_name,experience_years,office,phone
1,Dias Zhumanov,16,Central,+77145980840
2,Dias Nurpeis,10,Central,+77216665364
3,Laila Abilov,14,West Branch,+77433290977
4,Gulnara Amanzholov,19,Premium Office,+77487374870
5,Azamat Sadykova,19,West Branch,+77509561866
6,Aigerim Turarov,6,East Branch,+77526723507
7,Bek Abilov,3,Suburban Office,+77646330426
8,Nursultan Nurpeis,15,Premium Office,+77418118761
9,Aidos Zhaksybek,11,Premium Office,+77619308110
10,Erlan Amanzholov,20,East Branch,+77696588230
11,Salem Ualikhanova,12,North Branch,+77902651879
12,Aigerim Nurlybai,10,North Branch,+77123789692
13,Marat Turarov,13,South Branch,+77331535716
14,Aigerim Mukhtarov,17,Premium Office,+77778550022
15,Laila Ibragimov,6,North Branch,+77133884025
16,Diana Sadykova,6,Central,+77629313117
17,Dias Akhmetov,1,Suburban Office,+77374849105
18,Bek Bekturov,9,South Branch,+77604559978
19,Gulnara Saparov,16,Central,+77763394412
20,Madina Mukhtarov,5,East Branch,+77602650916
21,Gulnara Bekturov,10,South Branch,+77584926787
22,Zhanar Amanov,13,South Branch,+77614605373
23,Gulnara Nurlybai,15,South Branch,+77950061278
24,Dias Ualikhanova,7,East Branch,+77956195430
25,Omir Ualikhanova,2,South Branch,+77921164131
26,Sara Sadykova,1,East Branch,+77262276388
27,Omir Ibragimov,8,East Branch,+77213867729
28,Madina Nurlybai,13,South Branch,+77606713855
29,Zhanar Zhumanov,6,East Branch,+77473927553
30,Dias Suleimen,19,Premium Office,+77384499870
31,Diana Nurlybai,13,North Branch,+77344774443
32,Aigerim Sadykova,12,West Branch,+77500311770
33,Aidos Kassenov,12,South Branch,+77118242557
34,Nursultan Iskakov,6,East Branch,+77444019588
35,Aigerim Ualikhanova,10,North Branch,+77084141769
36,Sara Zhumanov,10,West Branch,+77666541261
37,Salem Nurlybai,11,West Branch,+77422486191
38,Omir Saparov,14,Premium Office,+77466674536
39,Rustem Saparov,11,Suburban Office,+77281025317
40,Timur Abilov,10,Premium Office,+77276378852
41,Dias Saparov,20,Central,+77424688436
42,Laila Zhumanov,19,North Branch,+77808507722
43,Marat Abilov,9,South Branch,+77620965639
44,Gulnara Saparov,8,West Branch,+77945877992
45,Kamila Ualikhanova,9,Central,+77564599799
46,Salem Kassenov,5,North Branch,+77051264978
47,Laila Ibragimov,17,East Branch,+77137765049
48,Marat Amanov,7,West Branch,+77718341713
49,Salem Iskakov,19,Suburban Office,+77289490164
50,Arman Abilov,6,Central,+77008564266
51,Laila Zhaksybek,5,Central,+77742247606
52,Nursultan Suleimen,16,Suburban Office,+77046548565
53,Bek Ibragimov,10,Suburban Office,+77556812572
54,Omir Yermekova,10,Premium Office,+77762094026
55,Zhanar Akhmetov,11,East Branch,+77859372397
56,Laila Nurpeis,5,Central,+77262458848
57,Aidos Sadykova,10,South Branch,+77608473379
58,Zhanar Saparov,13,Central,+77159323633
59,Marat Abilov,19,Central,+77883647122
60,Aidos Nurpeis,12,Central,+77146415887
61,Arman Yermekova,15,South Branch,+77921776951
62,Azamat Akhmetov,17,Premium Office,+77638775022
63,Azamat Yermekova,11,West Branch,+77362260974
64,Bek Mukhtarov,18,East Branch,+77865612470
65,Dias Nurlybai,20,North Branch,+77073856614
66,Kamila Akhmetov,18,South Branch,+77203101025
67,Kamila Ibragimov,13,East Branch,+77237605395
68,Dias Turarov,8,West Branch,+77591341906
69,Omir Sadykova,7,South Branch,+77955897383
70,Nursultan Yermekova,14,North Branch,+77720210725
71,Diana Sadykova,8,North Branch,+77332889352
72,Gulnara Saparov,6,South Branch,+77436559233
73,Aigerim Suleimen,1,South Branch,+77249098112
74,Gulnara Nurlybai,14,West Branch,+77796127498
75,Azamat Amanzholov,1,Central,+77592886856
76,Sara Nurpeis,19,Suburban Office,+77301270241
77,Azamat Nurlybai,2,North Branch,+77951465145
78,Dias Amanov,15,South Branch,+77069161097
79,Gulnara Rysbek,7,Central,+77324375336
80,Aigerim Ibragimov,2,North Branch,+77245222112
