client_id,full_name,phone,email,client_type
1,Marat Abilov,+77739842506,marat.abilov1@example.com,seller
2,Madina Bekturov,+77914996002,madina.bekturov2@example.com,seller
3,Nursultan Amanov,+77870021632,nursultan.amanov3@example.com,seller
4,Omir Iskakov,+77328993166,omir.iskakov4@example.com,seller
5,Azamat Ualikhanova,+77866472993,azamat.ualikhanova5@example.com,seller
6,Timur Ibragimov,+77226073427,timur.ibragimov6@example.com,seller
7,Gulnara Nurpeis,+77755092420,gulnara.nurpeis7@example.com,seller
8,Madina Turarov,+77063080278,madina.turarov8@example.com,seller
9,Diana Suleimen,+77482024385,diana.suleimen9@example.com,seller
10,Diana Turarov,+77303305498,diana.turarov10@example.com,seller
11,Sara Nurlybai,+77256897080,sara.nurlybai11@example.com,seller
12,Zhanar Ualikhanova,+77131660615,zhanar.ualikhanova12@example.com,seller
13,Aigerim Amanov,+77704569703,aigerim.amanov13@example.com,seller
14,Omir Kassenov,+77419612165,omir.kassenov14@example.com,seller
15,Omir Turarov,+77052519060,omir.turarov15@example.com,buyer
16,Kamila Bekturov,+77200319944,kamila.bekturov16@example.com,seller
17,Gulnara Bekturov,+77841518072,gulnara.bekturov17@example.com,seller
18,Gulnara Nurpeis,+77875938389,gulnara.nurpeis18@example.com,seller
19,Zhanar Ibragimov,+77983003383,zhanar.ibragimov19@example.com,buyer
20,Aidos Kassenov,+77269080108,aidos.kassenov20@example.com,seller
21,Dias Amanov,+77940083468,dias.amanov21@example.com,seller
22,Diana Sadykova,+77949423058,diana.sadykova22@example.com,seller
23,Rustem Iskakov,+77648456134,rustem.iskakov23@example.com,seller
24,Kamila Yermekova,+77773936345,kamila.yermekova24@example.com,buyer
25,Zhanar Sadykova,+77827704564,zhanar.sadykova25@example.com,seller
26,Omir Ibragimov,+77859217464,omir.ibragimov26@example.com,seller
27,Sara Mukhtarov,+77112310447,sara.mukhtarov27@example.com,seller
28,Erlan Yermekova,+77226625846,erlan.yermekova28@example.com,seller
29,Sara Iskakov,+77293610444,sara.iskakov29@example.com,seller
30,Erlan Nurlybai,+77657627978,erlan.nurlybai30@example.com,seller
31,Zhanar Sadykova,+77488501521,zhanar.sadykova31@example.com,seller
32,Salem Zhaksybek,+77047796183,salem.zhaksybek32@example.com,seller
33,Sara Mukhtarov,+77437374016,sara.mukhtarov33@example.com,seller
34,Bek Ualikhanova,+77997558133,bek.ualikhanova34@example.com,seller
35,Marat Nurlybai,+77247975555,marat.nurlybai35@example.com,seller
36,Laila Abilov,+77482401429,laila.abilov36@example.com,seller
37,Timur Sadykova,+77876963890,timur.sadykova37@example.com,buyer
38,Laila Rysbek,+77423926776,laila.rysbek38@example.com,seller
39,Aidos Iskakov,+77246124013,aidos.iskakov39@example.com,seller
40,Rustem Zhaksybek,+77256602785,rustem.zhaksybek40@example.com,seller
41,Aidos Ualikhanova,+77051285942,aidos.ualikhanova41@example.com,seller
42,Kamila Amanzholov,+77874481832,kamila.amanzholov42@example.com,seller
43,Aidos Iskakov,+77932594086,aidos.iskakov43@example.com,seller
44,Marat Sadykova,+77533258413,marat.sadykova44@example.com,seller
45,Salem Amanzholov,+77308762124,salem.amanzholov45@example.com,seller
46,Rustem Bekturov,+77602105788,rustem.bekturov46@example.com,seller
47,Nursultan Amanzholov,+77704484734,nursultan.amanzholov47@example.com,buyer
48,Aidos Ualikhanova,+77085552409,aidos.ualikhanova48@example.com,seller
49,Rustem Amanov,+77022216686,rustem.amanov49@example.com,buyer
50,Diana Rysbek,+77181486664,diana.rysbek50@example.com,seller
51,Kamila Ualikhanova,+77173797429,kamila.ualikhanova51@example.com,seller
52,Aigerim Kassenov,+77388082110,aigerim.kassenov52@example.com,buyer
